base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2015-06-01	4828.74	1.5300	500.00	326.80	500.00	326.80	1.53	500.00%	
2	2015-07-01	4053.70	1.2330	650.00	527.17	1150.00	853.97	1.35	1052.94%	
3	2015-08-03	3622.91	1.0130	850.00	839.09	2000.00	1693.06	1.18	1715.07%	
4	2015-09-01	3166.62	0.8670	1050.00	1211.07	3050.00	2904.13	1.05	2517.88%	
5	2015-10-08	3143.36	0.9500	1050.00	1105.26	4100.00	4009.39	1.02	3808.92%	
6	2015-11-02	3325.08	1.1080	1000.00	902.53	5100.00	4911.92	1.04	5442.41%	
7	2015-12-01	3456.31	1.3230	950.00	718.07	6050.00	5629.99	1.07	7448.47%	
8	2016-01-04	3296.26	1.3120	1000.00	762.20	7050.00	6392.18	1.10	8386.54%	
9	2016-02-01	2688.85	1.0780	1300.00	1205.94	8350.00	7598.12	1.10	8190.77%	
10	2016-03-01	2733.17	1.0800	1250.00	1157.41	9600.00	8755.53	1.10	9455.97%	
11	2016-04-01	3009.53	1.2530	1100.00	877.89	10700.00	9633.42	1.11	12070.67%	
12	2016-05-03	2992.64	1.3130	1150.00	875.86	11850.00	10509.28	1.13	13798.68%	
13	2016-06-01	2913.51	1.3140	1150.00	875.19	13000.00	11384.47	1.14	14959.19%	
14	2016-07-01	2932.48	1.4250	1150.00	807.02	14150.00	12191.48	1.16	17372.86%	
15	2016-08-01	2953.39	1.3990	1150.00	822.02	15300.00	13013.50	1.18	18205.89%	
16	2016-09-01	3063.31	1.4830	1100.00	741.74	16400.00	13755.24	1.19	20399.02%	
17	2016-10-10	3048.14	1.1020	1100.00	998.19	17500.00	14753.42	1.19	16258.27%	
18	2016-11-01	3122.44	1.1160	1050.00	940.86	18550.00	15694.28	1.18	17514.82%	
19	2016-12-01	3273.31	1.1420	1000.00	875.66	19550.00	16569.94	1.18	18922.87%	
20	2016-12-31	3135.92	1.0760	1050.00	975.84	20600.00	17545.78	1.17	18879.26%	
21	2017-02-03	3140.17	1.0450	1050.00	1004.78	21650.00	18550.56	1.17	19385.34%	
22	2017-03-01	3246.93	1.0820	1000.00	924.21	22650.00	19474.78	1.16	21071.71%	
23	2017-04-05	3270.31	1.0820	1000.00	924.21	23650.00	20398.99	1.16	22071.71%	
24	2017-05-02	3143.71	1.0060	1050.00	1043.74	24700.00	21442.73	1.15	21571.39%	
